ds;uf;estado;regiao;additive_terms;additive_terms_lower;additive_terms_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;residuo;trend;trend_lower;trend_upper;yearly;yearly_lower;yearly_upper;yhat;yhat_lower;yhat_upper;populacao;y;y_100mil_hab;yhat_100mil_hab;yhat_lower_100mil_hab;yhat_upper_100mil_hab
2001-03-01;PR;Parana;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9750259;240,0;2,4614730747152462;0,0;0,0;0,0
2001-03-01;RJ;Rio de Janeiro;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14911148;1245,0;8,3494577345755;0,0;0,0;0,0
2001-03-01;RN;Rio Grande do Norte;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2869202;102,0;3,5549954307852847;0,0;0,0;0,0
2001-03-01;RO;Rondonia;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1421392;53,0;3,7287391514796764;0,0;0,0;0,0
2001-03-01;RR;Roraima;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;346969;13,0;3,7467324170170824;0,0;0,0;0,0
2001-03-01;RS;Rio Grande do Sul;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10340365;392,0;3,790968694045133;0,0;0,0;0,0
2001-03-01;SC;Santa Catarina;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5510401;130,0;2,359174949336718;0,0;0,0;0,0
2001-03-01;SE;Sergipe;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1846173;38,0;2,058311978346558;0,0;0,0;0,0
2001-03-01;SP;Sao Paulo;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38163689;1529,0;4,006426108335596;0,0;0,0;0,0
2001-03-01;TO;Tocantins;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1202648;23,0;1,9124465346468793;0,0;0,0;0,0
